,Length,0 kPa,10 kPa,20 kPa,30 kPa,40 kPa,50 kPa,60 kPa
0,128.6954664439883,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
1,128.60108543680295,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
2,128.50660629813189,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
3,128.41202910006928,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
4,128.31735391478392,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
5,128.2225808145196,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
6,128.12770987159473,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
7,128.0327411584023,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
8,127.93767474741003,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
9,127.84251071116014,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
10,127.74724912226934,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
11,127.65189005342873,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
12,127.55643357740392,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
13,127.4608797670348,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
14,127.36522869523542,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
15,127.26948043499411,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
16,127.17363505937351,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
17,127.0776926415102,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
18,126.98165325461483,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156352,139.96973368987625
19,126.88551697197204,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
20,126.7892838669405,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
21,126.69295401295261,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
22,126.59652748351482,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
23,126.5000043522071,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
24,126.40338469268328,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
25,126.3066685786708,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
26,126.2098560839707,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
27,126.1129472824577,0.0,23.328288948312707,46.656577896625414,69.98486684493811,93.31315579325083,116.64144474156353,139.96973368987622
28,126.01594224807971,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
29,125.91884105485843,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
30,125.82164377688865,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
31,125.7243504883386,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
32,125.62696126344974,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
33,125.52947617653682,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
34,125.43189530198765,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
35,125.33421871426312,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
36,125.23644648789723,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
37,125.13857869749695,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
38,125.04061541774215,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
39,124.94255672338547,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
40,124.84440268925249,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
41,124.74615339024155,0.0,23.328288948312707,46.656577896625414,69.98486684493811,93.31315579325083,116.64144474156353,139.96973368987622
42,124.64780890132356,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
43,124.54936929754217,0.0,23.328288948312707,46.656577896625414,69.98486684493813,93.31315579325083,116.64144474156353,139.96973368987625
