,Pressure,25 mm,50 mm,75 mm,100 mm,125 mm
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.5050505050505051,0.9292929292929294,0.9545454545454546,1.0020202020202023,1.0803030303030303,1.2136363636363638
2,-1.0101010101010102,1.8585858585858588,1.9090909090909092,2.0040404040404045,2.1606060606060606,2.4272727272727277
3,-1.5151515151515151,2.787878787878788,2.8636363636363638,3.0060606060606063,3.2409090909090907,3.6409090909090915
4,-2.0202020202020203,3.7171717171717176,3.8181818181818183,4.008080808080809,4.321212121212121,4.854545454545455
5,-2.5252525252525255,4.646464646464647,4.772727272727273,5.01010101010101,5.401515151515152,6.068181818181819
6,-3.0303030303030303,5.575757575757576,5.7272727272727275,6.012121212121213,6.4818181818181815,7.281818181818183
7,-3.5353535353535355,6.505050505050506,6.681818181818182,7.014141414141415,7.562121212121212,8.495454545454546
8,-4.040404040404041,7.434343434343435,7.636363636363637,8.016161616161618,8.642424242424243,9.70909090909091
9,-4.545454545454546,8.363636363636365,8.590909090909092,9.01818181818182,9.722727272727273,10.922727272727276
10,-5.050505050505051,9.292929292929294,9.545454545454547,10.02020202020202,10.803030303030305,12.136363636363638
11,-5.555555555555556,10.222222222222225,10.5,11.022222222222226,11.883333333333335,13.350000000000003
12,-6.0606060606060606,11.151515151515152,11.454545454545455,12.024242424242425,12.963636363636363,14.563636363636366
13,-6.565656565656566,12.080808080808081,12.40909090909091,13.026262626262627,14.043939393939393,15.777272727272731
14,-7.070707070707071,13.010101010101012,13.363636363636363,14.02828282828283,15.124242424242423,16.990909090909092
15,-7.575757575757576,13.939393939393941,14.318181818181818,15.030303030303031,16.204545454545453,18.204545454545457
16,-8.080808080808081,14.86868686868687,15.272727272727273,16.032323232323236,17.284848484848485,19.41818181818182
17,-8.585858585858587,15.797979797979801,16.22727272727273,17.034343434343437,18.365151515151513,20.631818181818186
18,-9.090909090909092,16.72727272727273,17.181818181818183,18.03636363636364,19.445454545454545,21.84545454545455
19,-9.595959595959597,17.656565656565657,18.136363636363637,19.03838383838384,20.525757575757577,23.059090909090916
20,-10.101010101010102,18.58585858585859,19.090909090909093,20.04040404040404,21.60606060606061,24.272727272727277
21,-10.606060606060607,19.515151515151516,20.045454545454547,21.042424242424243,22.686363636363637,25.48636363636364
22,-11.111111111111112,20.44444444444445,21.0,22.04444444444445,23.76666666666667,26.700000000000006
23,-11.616161616161618,21.373737373737377,21.954545454545457,23.046464646464653,24.846969696969698,27.91363636363637
24,-12.121212121212121,22.303030303030305,22.90909090909091,24.04848484848485,25.927272727272726,29.127272727272732
25,-12.626262626262626,23.232323232323232,23.863636363636363,25.050505050505052,27.007575757575754,30.340909090909093
26,-13.131313131313131,24.161616161616163,24.81818181818182,26.052525252525253,28.087878787878786,31.554545454545462
27,-13.636363636363637,25.09090909090909,25.772727272727273,27.054545454545455,29.168181818181814,32.76818181818182
28,-14.141414141414142,26.020202020202024,26.727272727272727,28.05656565656566,30.248484848484846,33.981818181818184
29,-14.646464646464647,26.94949494949495,27.681818181818183,29.05858585858586,31.328787878787878,35.19545454545455
30,-15.151515151515152,27.878787878787882,28.636363636363637,30.060606060606062,32.40909090909091,36.409090909090914
31,-15.656565656565657,28.80808080808081,29.59090909090909,31.062626262626267,33.489393939393935,37.62272727272728
32,-16.161616161616163,29.73737373737374,30.545454545454547,32.06464646464647,34.56969696969697,38.83636363636364
33,-16.666666666666668,30.666666666666668,31.5,33.06666666666667,35.65,40.05000000000001
34,-17.171717171717173,31.595959595959602,32.45454545454546,34.068686868686875,36.73030303030303,41.26363636363637
35,-17.67676767676768,32.525252525252526,33.40909090909091,35.07070707070707,37.810606060606055,42.477272727272734
36,-18.181818181818183,33.45454545454546,34.36363636363637,36.07272727272728,38.89090909090909,43.6909090909091
37,-18.68686868686869,34.383838383838395,35.31818181818182,37.07474747474748,39.971212121212126,44.90454545454546
38,-19.191919191919194,35.313131313131315,36.27272727272727,38.07676767676768,41.051515151515154,46.11818181818183
39,-19.6969696969697,36.24242424242425,37.227272727272734,39.078787878787885,42.13181818181818,47.33181818181819
40,-20.202020202020204,37.17171717171718,38.18181818181819,40.08080808080808,43.21212121212122,48.545454545454554
41,-20.70707070707071,38.10101010101011,39.13636363636364,41.08282828282829,44.29242424242425,49.75909090909092
42,-21.212121212121215,39.03030303030303,40.09090909090909,42.084848484848486,45.372727272727275,50.97272727272728
43,-21.71717171717172,39.959595959595966,41.045454545454554,43.08686868686869,46.45303030303031,52.18636363636365
44,-22.222222222222225,40.8888888888889,42.0,44.0888888888889,47.53333333333334,53.40000000000001
45,-22.72727272727273,41.81818181818183,42.95454545454546,45.0909090909091,48.61363636363637,54.61363636363638
46,-23.232323232323235,42.747474747474755,43.909090909090914,46.092929292929306,49.693939393939395,55.82727272727274
47,-23.73737373737374,43.67676767676768,44.86363636363637,47.0949494949495,50.77424242424243,57.0409090909091
48,-24.242424242424242,44.60606060606061,45.81818181818182,48.0969696969697,51.85454545454545,58.254545454545465
49,-24.747474747474747,45.535353535353536,46.77272727272727,49.0989898989899,52.93484848484848,59.468181818181826
50,-25.252525252525253,46.464646464646464,47.72727272727273,50.101010101010104,54.01515151515151,60.68181818181819
51,-25.757575757575758,47.3939393939394,48.68181818181818,51.1030303030303,55.095454545454544,61.895454545454555
52,-26.262626262626263,48.323232323232325,49.63636363636364,52.10505050505051,56.17575757575757,63.109090909090924
53,-26.767676767676768,49.25252525252525,50.590909090909086,53.10707070707071,57.2560606060606,64.32272727272728
54,-27.272727272727273,50.18181818181818,51.54545454545455,54.10909090909091,58.33636363636363,65.53636363636365
55,-27.77777777777778,51.111111111111114,52.5,55.111111111111114,59.416666666666664,66.75
56,-28.282828282828284,52.04040404040405,53.45454545454545,56.11313131313132,60.49696969696969,67.96363636363637
57,-28.78787878787879,52.96969696969697,54.40909090909091,57.115151515151524,61.57727272727272,69.17727272727274
58,-29.292929292929294,53.8989898989899,55.36363636363637,58.11717171717172,62.657575757575756,70.3909090909091
59,-29.7979797979798,54.82828282828283,56.31818181818182,59.11919191919193,63.737878787878785,71.60454545454546
60,-30.303030303030305,55.757575757575765,57.27272727272727,60.121212121212125,64.81818181818181,72.81818181818183
61,-30.80808080808081,56.686868686868685,58.227272727272734,61.12323232323233,65.89848484848484,74.03181818181818
62,-31.313131313131315,57.61616161616162,59.18181818181818,62.125252525252534,66.97878787878787,75.24545454545456
63,-31.81818181818182,58.545454545454554,60.13636363636364,63.12727272727274,68.0590909090909,76.45909090909092
64,-32.323232323232325,59.47474747474748,61.09090909090909,64.12929292929294,69.13939393939394,77.67272727272729
65,-32.82828282828283,60.40404040404041,62.04545454545455,65.13131313131314,70.21969696969697,78.88636363636364
66,-33.333333333333336,61.333333333333336,63.0,66.13333333333334,71.3,80.10000000000002
67,-33.83838383838384,62.26262626262627,63.95454545454546,67.13535353535354,72.38030303030303,81.31363636363638
68,-34.343434343434346,63.191919191919204,64.90909090909092,68.13737373737375,73.46060606060605,82.52727272727275
69,-34.84848484848485,64.12121212121214,65.86363636363637,69.13939393939394,74.54090909090908,83.7409090909091
70,-35.35353535353536,65.05050505050505,66.81818181818181,70.14141414141415,75.62121212121211,84.95454545454547
71,-35.85858585858586,65.97979797979798,67.77272727272728,71.14343434343435,76.70151515151514,86.16818181818184
72,-36.36363636363637,66.90909090909092,68.72727272727273,72.14545454545456,77.78181818181818,87.3818181818182
73,-36.86868686868687,67.83838383838385,69.68181818181819,73.14747474747475,78.86212121212122,88.59545454545456
74,-37.37373737373738,68.76767676767679,70.63636363636364,74.14949494949497,79.94242424242425,89.80909090909093
75,-37.87878787878788,69.6969696969697,71.5909090909091,75.15151515151517,81.02272727272728,91.02272727272728
76,-38.38383838383839,70.62626262626263,72.54545454545455,76.15353535353536,82.10303030303031,92.23636363636366
77,-38.88888888888889,71.55555555555557,73.50000000000001,77.15555555555557,83.18333333333334,93.45000000000002
78,-39.3939393939394,72.4848484848485,74.45454545454547,78.15757575757577,84.26363636363637,94.66363636363639
79,-39.8989898989899,73.41414141414141,75.4090909090909,79.15959595959598,85.34393939393941,95.87727272727274
80,-40.40404040404041,74.34343434343435,76.36363636363637,80.16161616161617,86.42424242424244,97.09090909090911
81,-40.909090909090914,75.27272727272728,77.31818181818183,81.16363636363639,87.50454545454546,98.30454545454548
82,-41.41414141414142,76.20202020202022,78.27272727272728,82.16565656565658,88.5848484848485,99.51818181818184
83,-41.919191919191924,77.13131313131315,79.22727272727273,83.16767676767678,89.66515151515152,100.7318181818182
84,-42.42424242424243,78.06060606060606,80.18181818181819,84.16969696969697,90.74545454545455,101.94545454545457
85,-42.929292929292934,78.989898989899,81.13636363636364,85.17171717171719,91.82575757575758,103.15909090909092
86,-43.43434343434344,79.91919191919193,82.09090909090911,86.17373737373738,92.90606060606062,104.3727272727273
87,-43.939393939393945,80.84848484848486,83.04545454545456,87.17575757575759,93.98636363636365,105.58636363636366
88,-44.44444444444445,81.7777777777778,84.0,88.1777777777778,95.06666666666668,106.80000000000003
89,-44.949494949494955,82.70707070707071,84.95454545454547,89.179797979798,96.1469696969697,108.01363636363638
90,-45.45454545454546,83.63636363636365,85.90909090909092,90.1818181818182,97.22727272727273,109.22727272727276
91,-45.959595959595966,84.56565656565658,86.86363636363637,91.18383838383839,98.30757575757576,110.44090909090912
92,-46.46464646464647,85.49494949494951,87.81818181818183,92.18585858585861,99.38787878787879,111.65454545454548
93,-46.969696969696976,86.42424242424245,88.77272727272728,93.1878787878788,100.46818181818182,112.86818181818184
94,-47.47474747474748,87.35353535353536,89.72727272727273,94.189898989899,101.54848484848486,114.0818181818182
95,-47.979797979797986,88.28282828282829,90.6818181818182,95.1919191919192,102.62878787878789,115.29545454545458
