,length,0 kPa,10 kPa,20 kPa,30 kPa,40 kPa,50 kPa,dV/dL
0,128.697611368429,0.0,24.584634826184242,49.169269652368484,73.75390447855273,98.33853930473697,122.92317413092121,0.002458463482618424
1,128.60322878822686,0.0,24.56961102498548,49.13922204997096,73.70883307495644,98.27844409994192,122.84805512492743,0.0024569611024985484
2,128.50874807490348,0.0,24.55461587068036,49.10923174136072,73.66384761204108,98.21846348272145,122.77307935340178,0.002455461587068036
3,128.41416930055425,0.0,24.539649282649705,49.07929856529941,73.61894784794912,98.15859713059882,122.69824641324853,0.0024539649282649704
4,128.31949253734913,0.0,24.52471118069938,49.04942236139876,73.57413354209814,98.09884472279752,122.62355590349691,0.0024524711180699383
5,128.22471785753314,0.0,24.509801485057633,49.019602970115265,73.5294044551729,98.03920594023053,122.54900742528818,0.0024509801485057634
6,128.12984533342586,0.0,24.49492011637242,48.98984023274484,73.48476034911727,97.97968046548968,122.4746005818621,0.002449492011637242
7,128.03487503742159,0.0,24.480066995708775,48.96013399141755,73.44020098712632,97.9202679828351,122.40033497854387,0.0024480066995708773
8,127.93980704198916,0.0,24.46524204454624,48.93048408909248,73.39572613363872,97.86096817818496,122.32621022273118,0.0024465242044546236
9,127.84464141967197,0.0,24.450445184776246,48.90089036955249,73.35133555432873,97.80178073910498,122.25222592388121,0.0024450445184776245
10,127.74937824308802,0.0,24.43567633869954,48.87135267739908,73.30702901609861,97.74270535479816,122.1783816934977,0.002443567633869954
11,127.65401758492965,0.0,24.420935429023675,48.84187085804735,73.26280628707102,97.6837417160947,122.10467714511837,0.0024420935429023674
12,127.55855951796352,0.0,24.40622237886042,48.81244475772084,73.21866713658126,97.62488951544168,122.0311118943021,0.002440622237886042
13,127.46300411503087,0.0,24.391537111723306,48.78307422344661,73.17461133516991,97.56614844689322,121.95768555861653,0.0024391537111723306
14,127.36735144904698,0.0,24.376879551525093,48.753759103050186,73.13063865457528,97.50751820610037,121.88439775762545,0.002437687955152509
15,127.27160159300138,0.0,24.362249622575305,48.72449924515061,73.08674886772592,97.44899849030122,121.81124811287653,0.0024362249622575305
16,127.17575461995784,0.0,24.347647249577793,48.69529449915559,73.04294174873338,97.39058899831117,121.73823624788898,0.0024347647249577794
17,127.0798106030542,0.0,24.333072357628247,48.66614471525649,72.99921707288475,97.33228943051299,121.66536178814124,0.0024333072357628246
18,126.9837696155024,0.0,24.31852487221183,48.63704974442366,72.9555746166355,97.27409948884733,121.59262436105917,0.0024318524872211835
19,126.8876317305882,0.0,24.304004719200766,48.60800943840153,72.9120141576023,97.21601887680306,121.52002359600384,0.002430400471920077
20,126.79139702167159,0.0,24.2895118248519,48.5790236497038,72.8685354745557,97.1580472994076,121.4475591242595,0.00242895118248519
21,126.69506556218616,0.0,24.275046115804393,48.55009223160879,72.82513834741319,97.10018446321757,121.37523057902197,0.0024275046115804395
22,126.59863742563954,0.0,24.260607519077347,48.52121503815469,72.78182255723203,97.04243007630939,121.30303759538673,0.0024260607519077347
23,126.50211268561296,0.0,24.24619596206746,48.49239192413492,72.73858788620238,96.98478384826984,121.2309798103373,0.002424619596206746
24,126.40549141576143,0.0,24.23181137254674,48.46362274509348,72.69543411764022,96.92724549018696,121.1590568627337,0.002423181137254674
25,126.30877368981375,0.0,24.217453678660164,48.43490735732033,72.6523610359805,96.86981471464065,121.08726839330083,0.0024217453678660166
26,126.2119595815721,0.0,24.203122808923435,48.40624561784687,72.60936842677029,96.81249123569374,121.01561404461717,0.0024203122808923432
27,126.11504916491236,0.0,24.188818692220682,48.377637384441364,72.56645607666204,96.75527476888273,120.9440934611034,0.002418881869222068
28,126.01804251378381,0.0,24.174541257802233,48.349082515604465,72.5236237734067,96.69816503120893,120.87270628901116,0.0024174541257802233
29,125.92093970220932,0.0,24.160290435282366,48.32058087056473,72.4808713058471,96.64116174112947,120.80145217641183,0.0024160290435282367
30,125.82374080428491,0.0,24.14606615463711,48.29213230927422,72.43819846391133,96.58426461854845,120.73033077318556,0.002414606615463711
31,125.72644589418003,0.0,24.13186834620203,48.26373669240406,72.39560503860609,96.52747338480812,120.65934173101014,0.002413186834620203
32,125.62905504613741,0.0,24.11769694067002,48.23539388134004,72.35309082201006,96.47078776268008,120.58848470335009,0.002411769694067002
33,125.53156833447309,0.0,24.103551869089184,48.20710373817837,72.31065560726755,96.41420747635674,120.51775934544592,0.0024103551869089183
34,125.43398583357602,0.0,24.089433062860632,48.178866125721264,72.26829918858189,96.35773225144253,120.44716531430315,0.002408943306286063
35,125.33630761790835,0.0,24.075340453736384,48.15068090747277,72.22602136120915,96.30136181494554,120.37670226868192,0.0024075340453736382
36,125.23853376200536,0.0,24.061273973817205,48.12254794763441,72.18382192145161,96.24509589526882,120.30636986908603,0.0024061273973817205
37,125.14066434047521,0.0,24.047233555550527,48.09446711110105,72.14170066665157,96.1889342222021,120.23616777775263,0.0024047233555550525
38,125.04269942799905,0.0,24.03321913172834,48.06643826345668,72.09965739518502,96.13287652691336,120.16609565864171,0.002403321913172834
39,124.94463909933086,0.0,24.01923063548513,48.03846127097026,72.05769190645539,96.07692254194052,120.09615317742565,0.002401923063548513
40,124.84648342929734,0.0,24.005268000295786,48.01053600059157,72.01580400088736,96.02107200118314,120.02634000147894,0.0024005268000295787
41,124.74823249279802,0.0,23.991331159973583,47.98266231994717,71.97399347992075,95.96532463989433,119.95665579986792,0.0023991331159973583
42,124.64988636480524,0.0,23.977420048668144,47.95484009733629,71.93226014600442,95.90968019467257,119.8871002433407,0.002397742004866814
