,Pressure,25 mm,50 mm,75 mm,100 mm,125 mm
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6060606060606061,1.4138356938371337,1.4138356938371337,1.4138356938371337,1.4138356938371337,1.4138356938371337
2,1.2121212121212122,2.8276713876742674,2.8276713876742674,2.8276713876742674,2.8276713876742674,2.8276713876742674
3,1.8181818181818183,4.2415070815114015,4.2415070815114015,4.2415070815114015,4.2415070815114015,4.2415070815114015
4,2.4242424242424243,5.655342775348535,5.655342775348535,5.655342775348535,5.655342775348535,5.655342775348535
5,3.0303030303030303,7.069178469185668,7.069178469185668,7.069178469185668,7.069178469185668,7.069178469185668
6,3.6363636363636367,8.483014163022803,8.483014163022803,8.483014163022803,8.483014163022803,8.483014163022803
7,4.242424242424242,9.896849856859935,9.896849856859935,9.896849856859935,9.896849856859935,9.896849856859935
8,4.848484848484849,11.31068555069707,11.31068555069707,11.31068555069707,11.31068555069707,11.31068555069707
9,5.454545454545455,12.724521244534204,12.724521244534204,12.724521244534204,12.724521244534204,12.724521244534204
10,6.0606060606060606,14.138356938371336,14.138356938371336,14.138356938371336,14.138356938371336,14.138356938371336
11,6.666666666666667,15.55219263220847,15.55219263220847,15.55219263220847,15.55219263220847,15.55219263220847
12,7.272727272727273,16.966028326045606,16.966028326045606,16.966028326045606,16.966028326045606,16.966028326045606
13,7.878787878787879,18.37986401988274,18.37986401988274,18.37986401988274,18.37986401988274,18.37986401988274
14,8.484848484848484,19.79369971371987,19.79369971371987,19.79369971371987,19.79369971371987,19.79369971371987
15,9.090909090909092,21.207535407557007,21.207535407557007,21.207535407557007,21.207535407557007,21.207535407557007
16,9.696969696969697,22.62137110139414,22.62137110139414,22.62137110139414,22.62137110139414,22.62137110139414
17,10.303030303030303,24.03520679523127,24.03520679523127,24.03520679523127,24.03520679523127,24.03520679523127
18,10.90909090909091,25.449042489068407,25.449042489068407,25.449042489068407,25.449042489068407,25.449042489068407
19,11.515151515151516,26.86287818290554,26.86287818290554,26.86287818290554,26.86287818290554,26.86287818290554
20,12.121212121212121,28.276713876742672,28.276713876742672,28.276713876742672,28.276713876742672,28.276713876742672
21,12.727272727272728,29.690549570579808,29.690549570579808,29.690549570579808,29.690549570579808,29.690549570579808
22,13.333333333333334,31.10438526441694,31.10438526441694,31.10438526441694,31.10438526441694,31.10438526441694
23,13.93939393939394,32.518220958254076,32.518220958254076,32.518220958254076,32.518220958254076,32.518220958254076
24,14.545454545454547,33.93205665209121,33.93205665209121,33.93205665209121,33.93205665209121,33.93205665209121
25,15.151515151515152,35.34589234592835,35.34589234592835,35.34589234592835,35.34589234592835,35.34589234592835
26,15.757575757575758,36.75972803976548,36.75972803976548,36.75972803976548,36.75972803976548,36.75972803976548
27,16.363636363636363,38.17356373360261,38.17356373360261,38.17356373360261,38.17356373360261,38.17356373360261
28,16.96969696969697,39.58739942743974,39.58739942743974,39.58739942743974,39.58739942743974,39.58739942743974
29,17.575757575757578,41.001235121276885,41.001235121276885,41.001235121276885,41.001235121276885,41.001235121276885
30,18.181818181818183,42.415070815114014,42.415070815114014,42.415070815114014,42.415070815114014,42.415070815114014
31,18.78787878787879,43.82890650895114,43.82890650895114,43.82890650895114,43.82890650895114,43.82890650895114
32,19.393939393939394,45.24274220278828,45.24274220278828,45.24274220278828,45.24274220278828,45.24274220278828
33,20.0,46.65657789662541,46.65657789662541,46.65657789662541,46.65657789662541,46.65657789662541
34,20.606060606060606,48.07041359046254,48.07041359046254,48.07041359046254,48.07041359046254,48.07041359046254
35,21.21212121212121,49.48424928429967,49.48424928429967,49.48424928429967,49.48424928429967,49.48424928429967
36,21.81818181818182,50.898084978136815,50.898084978136815,50.898084978136815,50.898084978136815,50.898084978136815
37,22.424242424242426,52.31192067197395,52.31192067197395,52.31192067197395,52.31192067197395,52.31192067197395
38,23.03030303030303,53.72575636581108,53.72575636581108,53.72575636581108,53.72575636581108,53.72575636581108
39,23.636363636363637,55.139592059648216,55.139592059648216,55.139592059648216,55.139592059648216,55.139592059648216
40,24.242424242424242,56.553427753485344,56.553427753485344,56.553427753485344,56.553427753485344,56.553427753485344
41,24.848484848484848,57.96726344732248,57.96726344732248,57.96726344732248,57.96726344732248,57.96726344732248
42,25.454545454545457,59.381099141159616,59.381099141159616,59.381099141159616,59.381099141159616,59.381099141159616
43,26.060606060606062,60.79493483499675,60.79493483499675,60.79493483499675,60.79493483499675,60.79493483499675
44,26.666666666666668,62.20877052883388,62.20877052883388,62.20877052883388,62.20877052883388,62.20877052883388
45,27.272727272727273,63.62260622267102,63.62260622267102,63.62260622267102,63.62260622267102,63.62260622267102
46,27.87878787878788,65.03644191650815,65.03644191650815,65.03644191650815,65.03644191650815,65.03644191650815
47,28.484848484848484,66.45027761034528,66.45027761034528,66.45027761034528,66.45027761034528,66.45027761034528
48,29.090909090909093,67.86411330418242,67.86411330418242,67.86411330418242,67.86411330418242,67.86411330418242
49,29.6969696969697,69.27794899801957,69.27794899801957,69.27794899801957,69.27794899801957,69.27794899801957
50,30.303030303030305,70.6917846918567,70.6917846918567,70.6917846918567,70.6917846918567,70.6917846918567
51,30.90909090909091,72.10562038569383,72.10562038569383,72.10562038569383,72.10562038569383,72.10562038569383
52,31.515151515151516,73.51945607953095,73.51945607953095,73.51945607953095,73.51945607953095,73.51945607953095
53,32.121212121212125,74.9332917733681,74.9332917733681,74.9332917733681,74.9332917733681,74.9332917733681
54,32.72727272727273,76.34712746720523,76.34712746720523,76.34712746720523,76.34712746720523,76.34712746720523
